"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AL121929.2",24.4243577131957,1.54635481736719,0.376472134027868,0.000117164531117962,0.000354477508306119
"TTR",28.1529319329965,2.45169220929505,0.679141548338321,0.000117472947976716,0.00035532275661909
"AC021236.1",3.12163209822877,4.84133300194055,1.13382258973854,0.000117468866986086,0.00035532275661909
"AL162413.1",6.82005555708195,2.69532912746167,0.932472404118999,0.00011750777974439,0.000355398828281871
"FGF12-AS2",3.05563562358619,2.37001668632967,0.762823144131868,0.00011792306831281,0.000356593726736297
"TMEM151B",5.04321204651568,2.27520472145631,0.519224247172611,0.000118201090650161,0.000357319083882576
"AC087269.2",1.98082982298637,2.80022496294335,0.722047953753273,0.000118944712895921,0.0003594329819877
"H2AZP4",3.06850380366839,2.48739294433207,0.521523838004148,0.000119039845630405,0.000359676899613211
"AL121652.1",3.23113964331192,2.12445898315154,0.503047830019054,0.000119411305512817,0.000360680507098205
"AC034102.8",5.9683441214405,1.11278785180584,0.307370131528193,0.000119820571355667,0.00036179760905847
"PRSS45P",1.42393463035277,2.27127547975101,0.703338278959831,0.000119931326669534,0.000362102248674557
"PCK1",43.5503913047689,3.04649181131739,0.705570541818515,0.000120000835163044,0.000362282314101902
"PROKR1",6.0780867631702,2.94122289293442,0.405657525058452,0.000120258071835278,0.000363029054352746
"RPL23AP11",3.19226876735225,2.7347362526869,0.831834732299535,0.000120285075288471,0.000363080712415854
"FAM230C",6.95582541195011,4.7187549958293,1.61558946921808,0.000120527258907225,0.000363751921398208
"CKS1BP2",1.77712782712582,2.94056943010761,0.904293547768595,0.000120911254594287,0.000364850828906461
"AC093840.1",3.32405138177695,1.30960365740604,0.373853411548196,0.000120972800073668,0.000365006538312035
"AC104791.2",3.4903039887991,2.1951740092126,0.446871414234037,0.000121859753351078,0.000367561859162808
"AC073850.1",2.63123777442825,-1.5088120102698,0.417379805615073,0.000122201860802368,0.000368412114514893
"AL033519.4",51.3233781536169,-1.33738893617475,0.365749582278717,0.000122491484268933,0.000369224618537034
"FAM167A-AS1",4.4804704655565,-1.58598991199788,0.438809600028354,0.000123199021301107,0.000371235402554673
"LINC01694",91.7724343100007,1.23309797723726,0.352968852720336,0.000123337866573146,0.000371623278844869
"AL121758.1",3.50455262805018,1.5359759858003,0.439336765344571,0.000123425906354838,0.000371796994130429
"GALNT13",210.795708026601,-1.32550816960338,0.362484405459673,0.000123491473931602,0.000371933461198001
"AC008132.1",2.92817513978911,1.68446364480357,0.487186375756848,0.000123916854101921,0.000373184008562911
"AC080005.1",1.88996476431525,-1.31184469346943,0.363750784246474,0.000124025732849183,0.000373481263447729
"RN7SL263P",6.00333330364168,1.38454686712702,0.34910153538398,0.000124174519598534,0.000373898635503486
"GRIA4",13.8187466993964,2.655565250849,0.352627081832783,0.000124187796104871,0.000373907941225199
"NAV2-AS2",2.67377923046383,-1.82444659635096,0.50845642304886,0.000124259160200582,0.000374092122746082
"RN7SKP287",4.86701386961821,1.3366837858381,0.3827133229541,0.000124332495074847,0.000374282206758034
"AP003174.1",1.69427180420808,2.97823683235168,0.878842167608842,0.000124440333550658,0.000374576118407343
"OSTCP8",2.11325666172904,3.42511937073562,0.715777919708576,0.000124675982567942,0.000375223904903174
"RNU6-353P",1.42419613930006,2.00074772191295,0.636946636982314,0.000124994342272462,0.00037605870962524
"AHSP",2.29005999639124,-1.48351442299976,0.413875021250948,0.000125995209708572,0.000378883604323935
"IGLC5",2.03491271796935,1.56993738829688,0.479734806308164,0.000126130398482889,0.000379259065162999
"PHF2P2",3.49019970218674,4.78400110702299,0.900379774755359,0.00012670273512123,0.000380917608585593
"RNA5SP203",3.43139687410495,1.05217529224649,0.289405047442161,0.000127014271948427,0.00038182293789885
"AL358075.2",8.36347734085829,1.08568960262632,0.301572980563004,0.000127097224208573,0.000382030263716589
"AP002008.4",14.5299521348214,-1.98182985896508,0.552274992064954,0.000127383630600776,0.000382776548141232
"AC087276.2",4.89147631828017,1.29389068380408,0.365857129154646,0.000127781476838416,0.000383909187410753
"BX322557.2",1.02445923661683,-1.49669792723033,0.420253628951034,0.000127975680349404,0.000384429727845002
"IQUB",54.0382541836602,-1.0250317932329,0.27682887558582,0.000128082472935535,0.000384687564761709
"RBPJL",2.91686516023095,1.57241047549385,0.455448827164436,0.000128135725997454,0.000384816021428009
"FBN2",148.727356921848,2.33629630573972,0.345285943117815,0.000128595355684038,0.000386164783740975
"PRKAG3",2.48241831298269,-1.12906665855868,0.309591058900115,0.000129179838867578,0.000387793058975388
"PRB4",3.74960878389618,11.5340709115749,3.19566988309625,0.000129204988769455,0.000387836840931324
"AC022031.2",9.65088932269336,2.39128798142604,0.822885637118751,0.000129216293168207,0.000387839058840437
"AC140168.1",5.3857274749641,3.57378578860522,0.968516366192682,0.000129306926499678,0.000388015912527605
"AL360169.3",2.92323982303545,3.19846955923481,0.687988578262871,0.000129297377374926,0.000388015912527605
"ESPNL",88.6177601952473,1.10961871466591,0.314206551188903,0.00012946383270744,0.000388423242421309
"AC138627.1",11.3278882711818,1.74490638665974,0.400665108899237,0.000129626396095202,0.000388847409321131
"AC132807.2",4.62376088834452,3.01963383224077,1.08737962742384,0.000129795575373593,0.000389323090440746
"FMO9P",4.31899079470126,3.17346676572526,0.801755527964983,0.000129909720889798,0.000389633633011089
"AC078906.1",2.3536013638461,1.96369959823529,0.582577647026705,0.000130140016178182,0.000390260576249382
"OR56A3",6.7690980909158,5.05037071492096,1.53022240565456,0.000130290273996017,0.000390679249946559
"AC124854.1",2.69816389958419,-1.32599998987683,0.365623175146137,0.000130575735117738,0.000391471258142921
"WNT1",13.2932807762417,1.04951715171516,0.293774311485755,0.000130623870087287,0.000391583587028512
"AC007610.4",11.0993463923556,1.40080395793467,0.308646536546067,0.00013121905551308,0.000393239373807996
"AP000842.2",0.752564623165047,-1.0205780798895,0.469164709510079,0.000131418548147378,0.000393772921834459
"AP001781.1",4.86563498607307,1.84272825597766,0.429801844380449,0.000132043152204804,0.000395386249378737
"GAPDHP55",1.62485310251848,3.50406954900718,0.932122476060657,0.000132146179661115,0.000395630206590019
"ACAN",176.559200463618,1.07470628163871,0.303016421344607,0.000132654781530934,0.000397088128552353
"RN7SL128P",14.4312131152307,3.84639506462909,0.42161179391359,0.000132791444744934,0.000397367600366595
"RPSAP16",3.59283969127856,1.81760178757176,0.542164451557055,0.000133134266019463,0.00039836099095553
"AC016597.1",5.18290665115146,2.21828031513604,0.284788493958309,0.000133417064804682,0.000399134624622569
"AC016549.1",2.08903581391263,5.90934645991587,1.11937860710915,0.000133425438017422,0.000399134624622569
"RNU6-892P",1.48630771232333,-1.14343067626718,0.318010157261283,0.000133459204461823,0.000399203102785577
"FSIP2-AS2",5.30337827001926,1.4222722571462,0.410600966947759,0.000133633652518731,0.000399692342268198
"ZDHHC8P1",122.884514228055,1.11215828552105,0.31559063757151,0.000133657821200158,0.000399732059688397
"AC006427.2",2.92764369498663,1.97773008043438,0.633545760838945,0.000133691844630197,0.000399801240951956
"FAM27E3",10.0907117064898,1.06055081112119,0.294264884241274,0.000134201097051555,0.000401258766031481
"CASC20",5.35745216143719,2.81792253617935,0.944864953891519,0.000134519625352581,0.000402145647645782
"AL161645.1",3.1454793821272,1.76823934577505,0.529468140298824,0.00013484171192068,0.000403042876083732
"AL022067.1",10.6264421045135,1.17964790588741,0.339000874566435,0.000135146684651324,0.000403888667278417
"AC111170.3",19.1819463170351,1.17691058503093,0.297169187269257,0.000135531308663729,0.000404972183836235
"AC024884.1",1.4522660283216,1.63350258782147,0.515147369564124,0.000135657999307925,0.000405317746914808
"AL356489.2",12.3506625556546,-1.10113741392505,0.300399789702448,0.00013595130756615,0.000406094930274085
"GFRA1",328.359900784818,-1.17099649322838,0.320990936205151,0.000136248033041207,0.000406915043273665
"AC083906.1",2.05387395010318,1.69663994761931,0.519627329495547,0.00013626206805583,0.000406923852440075
"BHMG1",3.07005067461898,1.9502479394144,0.604571574665919,0.000136368883012351,0.000407209709397005
"AC083801.2",2.09879217394435,3.94662145907576,1.14132360873532,0.000136614252625926,0.000407876045985564
"PI3",224.086002578012,1.73570420146506,0.429216644796713,0.000136709463585274,0.000408127113637624
"LINC01735",2.80903683787191,1.6679330581215,0.489717346606147,0.000136746840773232,0.00040820549980514
"MIR663AHG",140.314560607529,1.43994411392646,0.431892294412137,0.000137113528802484,0.00040913375185186
"CHAD",107.41893613351,1.73141206014152,0.328718527483171,0.000137438802065711,0.000410037674433364
"SPRR1A",14.3996658194073,2.960219212783,0.627022201888677,0.000137478130693727,0.00041007911454197
"MTND4LP13",1.59497223070479,2.0563942592753,0.714318374839921,0.000137472995372692,0.00041007911454197
"OTOGL",35.3285576036572,1.25733274049845,0.365343049159019,0.000137879019386748,0.000411196699509399
"AC087632.2",3.94857674132084,1.65787761741629,0.504609156527132,0.000138004445341152,0.000411491120102591
"AL109615.2",81.1388137747693,1.28385629425,0.287316447257873,0.000138307227283612,0.000412360436901139
"LINCR-0001",36.1555995162412,1.27552243088983,0.372386026954827,0.000138613226699873,0.000413205646069429
"AC131391.1",2.57407144808615,2.81578979932474,0.857959732355272,0.000139500124092544,0.000415714446759953
"AC134349.2",2.64833342326429,3.727185352695,0.465295839185109,0.00013957987557553,0.000415918343422889
"AC007848.2",1.70359156352423,4.52798693978424,1.2073564299868,0.000139782057395585,0.000416486993740028
"LINC01797",2.02270056552808,-1.38460499597997,0.387875305436633,0.000140115150396381,0.000417445575907016
"AL450270.1",1.22408416529055,-1.7995277168265,0.513355848917825,0.000140209632453816,0.000417659270316861
"SNORA80A",4.64167028204756,7.49058980088817,1.81361612980344,0.000140239861683495,0.000417715420535357
"MAGEA9B",7.4489439591672,9.89223336653457,3.29601095814427,0.000140346042007005,0.000417929951325799
"AC019197.1",37.1667917785465,1.41849584967178,0.330568541090017,0.000140595538061723,0.000418638952885279
"AC092902.4",12.406553268783,1.19887521138308,0.344510040771178,0.000140908758070828,0.000419435508535839
"AL049874.1",1.28557388589357,3.25882610442523,0.846262696669643,0.000141149346941873,0.000420117589195029
"SLC12A5-AS1",6.14558661316777,1.3170008694187,0.384902759489213,0.000141208467842394,0.000420259480911188
"LINC01090",3.90155150366065,1.74919793809698,0.469170993412797,0.000141511263529652,0.000421078437355849
"NPAS3",114.80101189753,2.23269796935297,0.384080680364407,0.000141735680471987,0.00042165761883181
"FABP12",0.970445900889341,-1.13640040737762,0.531066184348419,0.000142549944490391,0.000423908243871782
"RPS3AP54",2.49987827563461,1.90397507885119,0.604494911351603,0.000142651448927708,0.000424141372690613
"PLPPR3",89.5364817644846,-1.28027208886486,0.352899074739611,0.000142757273528432,0.00042442164061567
